unitkey,type,label,value,options
Адаптер для манометра,divider,Адаптер для манометра,,
Блок роликовый,divider,Блок роликовый,,
Быстроразъемные соединения БРС,divider,Быстроразъемные соединения БРС,,
"Вид опоры,Квадрат,Круг",field_select,Вид опоры,,Квадрат=Квадрат\r\nКруг=Круг
"Внешний диаметр рукава, мм",field_text,"Внешний диаметр рукава, мм",,
"Внешний размер вставки, мм",field_text,"Внешний размер вставки, мм",,
"Внутрений диаметр рукава, мм",field_text,"Внутрений диаметр рукава, мм",,
"Внутренний размер вставки, мм",field_text,"Внутренний размер вставки, мм",,
"Возврат штока,Пружинный,Гидравлический",field_select,Возврат штока,,Пружинный=Пружинный\r\nГидравлический=Гидравлический
Вставка понижающая к гайковерту кассетному гидравлическому,divider,Вставка понижающая к гайковерту кассетному гидравлическому,,
Выпрессовщик гидравлический,divider,Выпрессовщик гидравлический,,
Выравниватель фланцев,divider,Выравниватель фланцев,,
"Высота домкрата с опорой, мм",field_text,"Высота домкрата с опорой, мм",,
Высота крепления опоры,field_text,Высота крепления опоры,,
"Высота под гайку, мм",field_text,"Высота под гайку, мм",,
"Высота под шпильку, мм",field_text,"Высота под шпильку, мм",,
"Высота подхвата на кронштейне, мм",field_text,"Высота подхвата на кронштейне, мм",,
"Высота подхвата, мм",field_text,"Высота подхвата, мм",,
"Высота подъема, м",field_text,"Высота подъема, м",,
"Высота посадочного места домкрата, мм",field_text,"Высота посадочного места домкрата, мм",,
"Высота проставок, мм",field_text,"Высота проставок, мм",,
Выходная присоединительная резьба замка,field_text,Выходная присоединительная резьба замка,,
Выходная присоединительная резьба крана,field_text,Выходная присоединительная резьба крана,,
"Габаритные размеры опорной поверхности, мм",field_text,"Габаритные размеры опорной поверхности, мм",,
Гайковерт кассетный гидравлический,divider,Гайковерт кассетный гидравлический,,
Гайковерт торцевой идравлический,divider,Гайковерт торцевой идравлический,,
Гайкорезы гидравлические,divider,Гайкорезы гидравлические,,
Гидравлдический замок,divider,Гидравлдический замок,,
Головка к гайковерту торцевому гидравлическому,divider,Головка к гайковерту торцевому гидравлическому,,
"Грузоподъемность домкрата, тс",field_text,"Грузоподъемность домкрата, тс",,
"Грузоподъемность на кронштейне, тс",field_text,"Грузоподъемность на кронштейне, тс",,
"Грузоподъемность, тc",field_text,"Грузоподъемность, тc",,
"Двутавровая балка, мм",field_text,"Двутавровая балка, мм",,
"Диаметр гиба, мм / Радиус гиба, мм",field_text,"Диаметр гиба, мм / Радиус гиба, мм",,
"Диаметр каната, мм",field_text,"Диаметр каната, мм",,
"Диаметр корпуса, мм",field_text,"Диаметр корпуса, мм",,
"Диаметр опорной части, мм",field_text,"Диаметр опорной части, мм",,
"Диаметр отверстий на фланцах, мм",field_text,"Диаметр отверстий на фланцах, мм",,
"Диаметр посадочного места домкрата, мм",field_text,"Диаметр посадочного места домкрата, мм",,
